PARM =,MNET;SLAT;SLON,;SELV;TMPF,;SKNT;DRC,T;GUST;PM,SL;ALTI;D,WPF;RELH;,WTHR;P24I,,,,,,,,
STN,YYMMDD/HHMM,MNET,SLAT,SLON,SELV,TMPF,SKNT,DRCT,GUST,PMSL,ALTI,DWPF,RELH,WTHR,P24I
SLCNW,20131012/0202,8,40.82,-112,1304,-9999,0.62,104.4,0.84,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0203,8,40.82,-112,1304,-9999,0.91,104.5,1.03,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0204,8,40.82,-112,1304,-9999,0.54,104.6,0.72,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0205,8,40.82,-112,1304,-9999,0.23,104.6,0.42,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0206,8,40.82,-112,1304,-9999,0.39,104.4,0.57,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0207,8,40.82,-112,1304,-9999,0.23,104.4,0.5,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0208,8,40.82,-112,1304,-9999,0.13,104.4,0.15,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0209,8,40.82,-112,1304,-9999,0.29,104.3,0.57,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0210,8,40.82,-112,1304,-9999,0.72,104,0.8,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0211,8,40.82,-112,1304,-9999,0.73,104.2,0.8,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0212,8,40.82,-112,1304,-9999,0.75,104.5,0.8,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0213,8,40.82,-112,1304,-9999,0.92,104.7,1.18,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0214,8,40.82,-112,1304,-9999,1.14,104.6,1.3,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0215,8,40.82,-112,1304,-9999,0.86,104.4,1.03,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0216,8,40.82,-112,1304,-9999,0.88,104.4,0.91,-9999,-9999,-9999,-9999,-9999,-9999
SLCNW,20131012/0217,8,40.82,-112,1304,-9999,0.86,104.4,0.91,-9999,-9999,-9999,-9999,-9999,-9999
SNFEC,20131013/0200,8,41.36,-111.9,1737,34.67,1.39,195,2.13,-9999,-9999,26.62,72.11,-9999,-9999
SNI,20131012/0150,8,41.2,-111.86,2256,35.99,2.75,204.6,5.83,-9999,-9999,21.9,56.16,-9999,-9999
SNI,20131012/0155,8,41.2,-111.86,2256,36.05,2.84,217,5.12,-9999,-9999,21.29,54.58,-9999,-9999
SNI,20131012/0200,8,41.2,-111.86,2256,36.6,4.12,191.2,5.58,-9999,-9999,22.5,56.22,-9999,-9999
SNI,20131012/0205,8,41.2,-111.86,2256,35.75,2,211.7,3.41,-9999,-9999,24.03,62.02,-9999,-9999
SNI,20131012/0210,8,41.2,-111.86,2256,36.41,3.39,185.9,4.84,-9999,-9999,21.2,53.61,-9999,-9999
SNI,20131012/0215,8,41.2,-111.86,2256,36.23,2.1,208.7,3.6,-9999,-9999,23.34,59.11,-9999,-9999
SNZ,20131012/0155,8,40.88,-111.87,1451,48.24,2.01,87.2,3.05,-9999,-9999,38.39,68.57,-9999,-9999
SNZ,20131012/0200,8,40.88,-111.87,1451,48.13,2.15,108.9,4.23,-9999,-9999,38.42,68.93,-9999,-9999
SNZ,20131012/0205,8,40.88,-111.87,1451,48.3,2.63,106.1,4.76,-9999,-9999,38.5,68.7,-9999,-9999
SVB,20131012/0200,8,43.66,-114.4,2746,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
TRJO,20131012/0200,8,40.56,-112.06,1585,45.25,2.94,280,6.09,-9999,-9999,32.55,60.86,-9999,-9999
ZNP,20131012/0200,8,37.23,-112.87,1750,44.71,0.54,310.7,2.4,-9999,-9999,37.85,76.7,-9999,-9999
